Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY_MEAS,BULK DENSITY_SHAW,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,,,,,,,,,Canadian Order,HORIZON,,cconc_method
75,NRCS (Michaelson et al. 2013),Tundra Point 8103E,"Medial, amorphic Andic Humicryod",57.052,-135.734,HIGH,NA,NA,NA,Oe,6,11,5,,,,0.00,0.12,0.12,2,26.12,1531,,1531,,,,,,,,,,Humic Podzol,A,,0
76,NRCS (Michaelson et al. 2013),Tundra Point 8103E,"Medial, amorphic Andic Humicryod",57.052,-135.734,HIGH,NA,NA,NA,E,11,16,5,,,,0.00,0.93,0.93,10,7.87,3304,,3304,,,,,,,,,,Humic Podzol,E,,0
77,NRCS (Michaelson et al. 2013),Tundra Point 8103E,"Medial, amorphic Andic Humicryod",57.052,-135.734,HIGH,NA,NA,NA,Bhs1,16,38,22,,,,0.00,0.86,0.86,8,11.50,19991,,19991,,,,,,,,,,Humic Podzol,Bhf1,,0
78,NRCS (Michaelson et al. 2013),Tundra Point 8103E,"Medial, amorphic Andic Humicryod",57.052,-135.734,HIGH,NA,NA,NA,Bhs2,38,58,20,,,,0.00,0.86,0.86,11,7.67,11704,,11704,,,,,,,,,,Humic Podzol,Bhf2,,0
79,NRCS (Michaelson et al. 2013),Tundra Point 8103E,"Medial, amorphic Andic Humicryod",57.052,-135.734,HIGH,NA,NA,NA,C,58,58,0,,,,0.00,1.74,1.74,48,6.77,0,,0,,,,,,,,,,Humic Podzol,C,,0
80,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,Oi,0,3,3,113,7,120,0.00,0.08,0.08,0,30.96,743,43278,743,402.1,32.00,,,,,,,,Ferro-Humic Podzol,Of,,0
81,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,Oe,3,7,4,,,,0.00,0.12,0.12,0,23.74,1139,,1139,,,,,,,,,,Ferro-Humic Podzol,Om,,0
82,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,Bh,7,14,7,,,,0.00,0.86,0.86,0,18.47,11118,,11118,,,,,,,,,,Ferro-Humic Podzol,Bh,,0
83,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,Bhs,14,23,9,,,,0.00,0.86,0.86,1,10.02,7675,,7675,,,,,,,,,,Ferro-Humic Podzol,Bhf,,0
84,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,Bs1,23,36,13,,,,0.87,1.17,0.87,0,4.62,5220,,5220,,,,,,,,,,Ferro-Humic Podzol,bf1,,0
