Row,SOURCE,BEC Number,ID,GGROUP_EXP,ORDER_ONLY,LAT,LON,LATLON_Q,Elevation,Slope,Aspect,Horizon,UpperDepth,LowerDepth,DEPTH,Texture,HorizonType,MIN_D,FF_D,Zone,SurficialMaterialSurf,MINERAL_D,FF_D,TOTAL_D,BULK.DENSITY,CF,NEW.CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,next,,,,,
131,,329,27,HFP,Podzolic,,,,,,,Ae,0,-12,12,LS,2,12,0,MH,M,,,,1.31,50,4.74,3726,,3726,,,,,,,
132,,329,27,HFP,Podzolic,,,,,,,Bf,-12,-50,38,SL,2,38,0,MH,M,,,,1.38,50,1.7,4457,,4457,,,,,,,
133,SEE BEC FILE,639,28,HG,Gleysolic,49.67565155,121.1468964,HIGH,NA,NA,NA,LFm,12,10,2,NA,1,0,2,,,55,12,67,0.08,0,42.07,673,15767,673,15767,1,,,,,
134,,639,28,HG,Gleysolic,,,,,,,Hh,10,0,10,NA,1,0,10,,,,,,0.21,0,35.51,7457,,7457,,,,,,,
135,,689,28,HG,Gleysolic,,,,,,,Aegj,0,-10,10,SL,2,10,0,MS,M,,,,1.39,30,3.85,3746,,3746,,,,,,,
136,,689,28,HG,Gleysolic,,,,,,,Bg,-10,-30,20,SL,2,20,0,MS,M,,,,1.44,30,1.38,2782,,2782,,,,,,,
137,,689,28,HG,Gleysolic,,,,,,,BCg,-30,-55,25,SL,2,25,0,MS,M,,,,1.44,30,0.44,1109,,1109,,,,,,,
138,SEE BEC FILE,424,29,DYB,Brunisolic,49.10707855,121.8230972,HIGH,NA,NA,NA,B,0,-50,50,SL,2,50,0,CWH,M,110,0,110,1.45,30,1.2,6090,15387,6090,15387,1,,,,,
139,,423,29,DYB,Brunisolic,,,,,,,Ah,0,-2,2,NA,2,2,0,CWH,M,,,,1.07,0,3.36,719,,719,,,,,,,
140,,423,29,DYB,Brunisolic,,,,,,,B,-2,-60,58,SIL,2,58,0,CWH,M,,,,1.45,15,1.2,8578,,8578,,,,,,,
141,SEE BEC FILE,682,30,HFP,Podzolic,49.83717728,121.1117706,HIGH,NA,NA,NA,L,5,6,1,NA,1,0,1,,,65,6,71,0.14,0,43.21,605,7872,605,7872,1,,,,,
142,,682,30,HFP,Podzolic,,,,,,,F,2,5,3,NA,1,0,3,,,,,,0.14,0,43.21,1815,,1815,,,,,,,
143,,682,30,HFP,Podzolic,,,,,,,H,0,2,2,NA,1,0,2,,,,,,0.14,0,36.65,1026,,1026,,,,,,,
144,,732,30,HFP,Podzolic,,,,,,,Ae,0,-1,1,SL,2,1,0,ESSF,M,,,,1.31,55,4.74,279,,279,,,,,,,
145,,732,30,HFP,Podzolic,,,,,,,Bf,-1,-15,14,SL,2,14,0,ESSF,M,,,,1.38,55,1.7,1478,,1478,,,,,,,
146,,732,30,HFP,Podzolic,,,,,,,Bm,-15,-47,32,LS,2,32,0,ESSF,M,,,,1.19,65,1.7,2266,,2266,,,,,,,
147,,732,30,HFP,Podzolic,,,,,,,BC,-47,-65,18,LS,2,18,0,ESSF,M,,,,1.38,70,0.54,402,,402,,,,,,,
148,,425,31,DYB,Brunisolic,49.0392189,121.9835968,,,,,B,0,-30,30,SL,2,30,0,CWH,C,,,,1.45,95,1.2,261,,261,,1,,,,,
149,SEE BEC FILE,710,32,DYB,Brunisolic,49.66345215,121.4266434,HIGH,NA,NA,NA,Bm,0,-20,20,S,2,20,0,CWH,F,60,0,60,1.45,0,1.2,3480,6159,3480,6159,1,,,,,
150,,710,32,DYB,Brunisolic,,,,,,,Bf,-20,-48,28,SL,2,28,0,CWH,F,,,,1.03,35,1.2,2250,,2250,,,,,,,
151,,710,32,DYB,Brunisolic,,,,,,,BC,-48,-60,12,SL,2,12,0,CWH,F,,,,1.45,35,0.38,430,,430,,,,,,,
152,,660,32,DYB,Brunisolic,,,,,,,L,0,0,0,NA,1,0,0,,,,,,0.16,0,37.4,0,,0,,,,,,,
153,,660,32,DYB,Brunisolic,,,,,,,H,0,0,0,NA,1,0,0,,,,,,0.16,0,30.85,0,,0,,,,,,,
154,,660,32,DYB,Brunisolic,,,,,,,F,0,0,0,NA,1,0,0,,,,,,0.16,0,37.4,0,,0,,,,,,,
